ID,IDOBJECT,IDDATCHIK,DATCHIKNUMBER,POVERKADATE,PERIOD
2,556,63,223,20.09.2022,2
3,572,3,29648,30.08.2021,2
4,590,9,8102870,29.07.2022,1
5,592,3,29196,06.09.2021,2
6,593,12,8113121,22.09.2021,2
7,594,9,6317398,07.11.2022,2
8,595,3,29225,15.09.2021,2
9,596,12,10073717,27.09.2021,2
10,597,4,1924,01.09.2021,2
11,599,12,10075911,27.07.2022,1
15,736,11,238324,2013-09-16,1
18,754,4,¡/­,13.09.2021,2
20,118,19,¡/­,01.07.2021,2
21,591,9,6422105,01.08.2022,1
24,679,15,4173519,04.10.2021,2
25,680,15,4173519,04.10.2021,2
28,683,11,8105271,22.09.2021,1
33,690,7,35876,06.06.2022,1
37,694,9,3204911,26.05.2022,1
38,701,5,¡/­,17.05.2021,2
39,702,13,9090920,22.06.2022,2
40,703,4,¡/­,06.10.2021,2
42,770,9,4419209,25.03.2022,1
44,708,4,27052,30.08.2021,2
47,622,4,43511,17.11.2021,2
48,622,34,43511,17.11.2021,2
50,714,18,578,2019-06-21,1
56,722,11,8105273,2019-06-28,1
59,725,11,7420836,2019-07-01,1
60,726,11,7420836,2019-07-01,1
62,728,11,8423309,2019-06-27,1
66,862,11,9411523,2018-05-29,1
71,745,9,8423137,22.07.2022,1
72,525,11,8321619,31.08.2022,1
73,521,1,17546,11.10.2021,2
74,519,6,6166,24.06.2021,2
75,520,14,11110084,05.09.2022,2
76,460,20,¡/­,03.06.2021,2
87,912,22,43499,19.11.2021,2
88,913,22,43498,19.11.2021,2
89,914,22,43510,19.11.2021,2
90,707,6,5100033,17.08.2021,2
91,705,22,684,24.12.2020,2
94,556,62,223,2020-09-17,5
95,572,34,29648,30.08.2021,2
96,590,31,8174,14.07.2022,2
97,592,34,29126,06.09.2021,2
98,593,31,9637,05.08.2022,1
99,594,31,9636,12.08.2021,2
100,595,34,29225,15.09.2021,2
101,596,31,5993,10.08.2022,1
102,597,39,1924,01.09.2021,2
103,599,31,7077,07.07.2022,2
110,754,33,¡/­,13.09.2021,2
112,118,31,6986,01.07.2021,2
113,591,31,9831,05.08.2022,1
116,679,31,2410,27.09.2021,2
117,680,31,2410,21.09.2021,2
120,683,31,8101,13.09.2021,1
125,690,31,3053,14.05.2021,2
129,694,31,8685,26.05.2022,2
130,701,38,375,17.05.2021,2
131,702,31,9537,20.05.2021,2
132,703,38,1499,06.10.2021,2
134,770,31,3707,24.02.2022,2
136,708,34,27052,30.08.2021,2
159,745,31,8690,14.05.2021,2
160,525,31,5764,18.08.2022,2
161,521,34,17546,11.10.2021,2
162,519,33,¡/­,24.06.2021,2
163,520,31,12024,05.09.2022,2
164,460,38,¡/­,03.06.2021,2
167,902,44,574,2015-11-11,2
175,912,34,43499,19.11.2021,2
176,913,34,43498,19.11.2021,2
177,914,34,43510,19.11.2021,2
178,707,33,51001409,17.08.2021,2
179,705,40,684,24.12.2020,2
181,714,46,578,2019-06-21,1
182,725,49,194,2019-08-15,1
183,726,50,27E823094,2019-08-15,1
195,960,19,¡/­,06.08.2021,2
201,960,34,9919,06.08.2021,2
